Codigo;ID_Zona;Latitud;Longitud
PH022480;6400162;10.37837125;-75.49438134
PH022482;6400162;10.37794222;-75.49640644
PH022489;6400162;10.38050773;-75.49293447
PH022501;6400162;10.43343966;-75.52719785
PH022511;6400162;10.3777051;-75.49525114
PH022524;6400161;10.48349506;-75.47622139
PH022514;6400153;10.41950888;-75.54497765
PH022515;6400153;10.41985663;-75.54525116
PH022521;6400153;10.39403752;-75.56081124
PH022517;6400154;10.42312057;-75.44449622
PH022522;6400154;10.3873855;-75.4860771
PH022518;6400154;10.42487972;-75.44457721
PH022523;6400154;10.41478186;-75.48834573
PH022519;6400157;10.13396763;-75.2429497
PH022516;6400157;10.40184721;-75.4924843
PH022526;6400162;10.41384226;-75.45568823
PH022525;6400162;10.43895553;-75.52542029
PH022528;6400158;10.38032487;-75.47329359
PH022520;6400158;10.25461261;-75.35759156
PH022529;6400162;10.37360765;-75.4925499
PH022530;6400162;10.37926504;-75.4932516
PH022551;6400162;10.43613021;-75.52765009
PH022552;6400162;10.43613021;-75.52765009
PH022553;6400162;10.43586553;-75.5274684
PH022554;6400162;10.43589013;-75.52746773
PH022555;6400162;10.43589013;-75.52746773
PH022556;6400162;10.43611055;-75.52743789
PH022557;6400162;10.43726968;-75.52767466
PH022541;6400153;10.36971301;-75.47995256
PH022544;6400153;10.42030599;-75.54443995
PH022545;6400153;10.42313317;-75.54553021
PH022546;6400153;10.42584438;-75.54613395
PH022548;6400153;10.42088098;-75.53604463
PH022550;6400153;10.41126441;-75.532844
PH022558;6400153;10.41485219;-75.51800673
PH022527;6400154;10.35741679;-75.50224269
PH022547;6400154;10.38736993;-75.47679953
PH022532;6400156;10.39772102;-75.49946326
PH022534;6400156;10.39787874;-75.50022913
PH022536;6400156;10.39886981;-75.50173397
PH022531;6400158;10.39037174;-75.50722751
PH022533;6400158;10.38911321;-75.50953696
PH022535;6400158;10.38880887;-75.50832001
PH022537;6400158;10.39714572;-75.50247324
PH022538;6400158;10.39172509;-75.50667518
PH022543;6400158;10.38572141;-75.50634284
PH022539;6400159;9.989359233;-75.30444
PH022540;6400159;9.9838998;-75.30207047
PH022542;6400159;10.28376198;-75.51270669
PH022549;6400161;10.3900012;-75.51296831
PH022573;6400153;10.26098842;-75.35018586
PH022559;6400154;10.42585404;-75.44054674
PH022567;6400156;10.23649935;-75.20008801
PH022566;6400157;10.13853271;-75.22881886
PH022561;6400158;10.39205211;-75.45367417
PH022560;6400158;10.39749057;-75.45759581
PH022565;6400159;9.98384992;-75.3028183
PH022572;6400159;9.982302924;-75.3023928
PH022563;6400159;9.9807139;-75.29362983
PH022570;6400159;9.98416505;-75.30121119
PH022575;6400159;9.97796715;-75.29619394
PH022564;6400159;9.97857245;-75.30016574
PH022571;6400159;9.98509349;-75.30312928
PH022562;6400159;9.98094156;-75.29390403
PH022569;6400159;9.983970763;-75.30297115
PH022574;6400159;9.97494436;-75.2963494
PH022568;6400162;10.2559776;-75.33507269
PH022576;6400162;10.37810604;-75.49576758
PH022577;6400162;10.38120244;-75.49463175
PH022578;6400162;10.37859922;-75.49999319
PH022579;6400162;10.38049988;-75.49957242
PH022580;6400162;10.37868689;-75.49948615
PH022581;6400162;10.37573518;-75.49423048
PH022582;6400162;10.37612212;-75.4951445
PH022589;6400154;10.38327336;-75.48301447
PH022597;6400154;10.41061356;-75.49090395
PH022598;6400154;10.41039138;-75.49340653
PH022599;6400154;10.4083991;-75.49474286
PH022590;6400158;10.38784242;-75.50951398
PH022583;6400161;10.37427767;-75.47438108
PH022584;6400161;10.37452558;-75.47449762
PH022585;6400161;10.37880024;-75.47686886
PH022586;6400161;10.37274666;-75.47968933
PH022587;6400161;10.37543532;-75.48067766
PH022588;6400161;10.37565068;-75.48073053
PH022591;6400162;10.38519842;-75.49335073
PH022592;6400162;10.3786328;-75.48826376
PH022593;6400162;10.38054336;-75.49127315
PH022594;6400162;10.38326631;-75.50304646
PH022596;6400162;10.38265122;-75.50389477
PH022601;6400157;10.5742255;-75.21418588
PH022604;6400156;10.56334003;-75.32496035
PH022595;6400157;10.41082823;-75.52293311
PH022613;6400158;10.39253754;-75.45052856
PH022610;6400158;10.39317474;-75.4504922
PH022612;6400158;10.39329396;-75.44965169
PH022611;6400158;10.39308133;-75.45129829
PH022603;6400161;10.40359778;-75.14411426
PH022605;6400161;10.39991545;-75.15412377
PH022609;6400161;10.32965659;-75.409703
PH022602;6400162;10.54016138;-75.39581055
PH022608;6400162;10.53442505;-75.39561197
PH022606;6400154;10.42605631;-75.44106569
PH022607;6400162;10.53556698;-75.39152192
PH022600;6400154;10.42606071;-75.44082798
PH022614;6400162;10.24801585;-75.34458656
PH022615;6400162;10.24577072;-75.34460944
PH022618;6400162;10.25067596;-75.34432478
PH022619;6400162;10.24816945;-75.34177781
PH022642;6400158;10.41116335;-75.12883285
PH022639;6400159;10.40754182;-75.45477781
PH022641;6400159;10.41225505;-75.45622688
PH022627;6400159;10.28350901;-75.51147713
PH022630;6400159;10.40930356;-75.51699343
